name,scene,seed,variant,task_success,qualified_task_success,audit_qualification,strict_success,eligible_for_summary,runner_status,wall_time_s,error,native_contact_steps
08_ArchitecTHOR-Val-01_seed101_static,ArchitecTHOR-Val-01,101,static,False,False,,False,True,completed,3562.1777134388685,TimeoutError('Declared simulation-time budget exceeded'),
08_ArchitecTHOR-Val-01_seed102_dynamic,ArchitecTHOR-Val-01,102,dynamic,True,True,passed,True,True,completed,864.5416522100568,,0
08_ArchitecTHOR-Val-01_seed102_static,ArchitecTHOR-Val-01,102,static,False,False,,False,True,completed,3317.2264578789473,TimeoutError('Declared simulation-time budget exceeded'),
09_ProcTHOR-Val-632_seed100_dynamic,ProcTHOR-Val-632,100,dynamic,True,True,passed,True,True,completed,1932.3986526280642,,0
09_ProcTHOR-Val-632_seed100_static,ProcTHOR-Val-632,100,static,False,False,,False,True,completed,4168.079834498465,,
09_ProcTHOR-Val-632_seed101_dynamic,ProcTHOR-Val-632,101,dynamic,True,True,passed,True,True,completed,1444.3383088484406,,0
09_ProcTHOR-Val-632_seed101_static,ProcTHOR-Val-632,101,static,False,False,,False,True,completed,4426.624158158898,TimeoutError('Declared simulation-time budget exceeded'),
09_ProcTHOR-Val-632_seed102_dynamic,ProcTHOR-Val-632,102,dynamic,True,True,passed,True,True,completed,1421.2119851112366,,0
09_ProcTHOR-Val-632_seed102_static,ProcTHOR-Val-632,102,static,False,False,,False,True,completed,927.0950181931257,,
10_ProcTHOR-Train-7819_seed100_dynamic,ProcTHOR-Train-7819,100,dynamic,False,False,,False,True,completed,3569.9672911167145,,
10_ProcTHOR-Train-7819_seed100_static,ProcTHOR-Train-7819,100,static,False,False,,False,True,completed,4238.401558063924,TimeoutError('Declared simulation-time budget exceeded'),
10_ProcTHOR-Train-7819_seed101_dynamic,ProcTHOR-Train-7819,101,dynamic,False,False,,False,True,completed,3377.5634058490396,TimeoutError('Declared simulation-time budget exceeded'),
10_ProcTHOR-Train-7819_seed101_static,ProcTHOR-Train-7819,101,static,False,False,,False,True,completed,3519.802432820201,TimeoutError('Declared simulation-time budget exceeded'),
10_ProcTHOR-Train-7819_seed102_dynamic,ProcTHOR-Train-7819,102,dynamic,False,False,,False,True,completed,4081.505650050938,TimeoutError('Declared simulation-time budget exceeded'),
10_ProcTHOR-Train-7819_seed102_static,ProcTHOR-Train-7819,102,static,False,False,,False,True,completed,3596.496709756553,,
