name,scene,seed,variant,task_success,qualified_task_success,audit_qualification,strict_success,eligible_for_summary,runner_status,wall_time_s,error,native_contact_steps
08_ArchitecTHOR-Val-01_seed101_dynamic,ArchitecTHOR-Val-01,101,dynamic,True,True,passed,True,True,completed,1980.4882724061608,,0
08_ArchitecTHOR-Val-01_seed101_static,ArchitecTHOR-Val-01,101,static,False,False,,False,True,completed,7593.629371680319,TimeoutError('Declared simulation-time budget exceeded'),
08_ArchitecTHOR-Val-01_seed102_dynamic,ArchitecTHOR-Val-01,102,dynamic,True,True,passed,True,True,completed,2269.165727555752,,0
08_ArchitecTHOR-Val-01_seed102_static,ArchitecTHOR-Val-01,102,static,False,False,,False,True,completed,7036.504960745573,TimeoutError('Declared simulation-time budget exceeded'),
09_ProcTHOR-Val-632_seed100_dynamic,ProcTHOR-Val-632,100,dynamic,False,False,,False,True,completed,3595.770805411041,,
09_ProcTHOR-Val-632_seed100_static,ProcTHOR-Val-632,100,static,False,False,,False,True,completed,8255.397401310503,,
09_ProcTHOR-Val-632_seed101_dynamic,ProcTHOR-Val-632,101,dynamic,False,False,,False,True,completed,5926.08795298636,,
09_ProcTHOR-Val-632_seed101_static,ProcTHOR-Val-632,101,static,False,False,,False,True,completed,8688.25688661635,TimeoutError('Declared simulation-time budget exceeded'),
09_ProcTHOR-Val-632_seed102_dynamic,ProcTHOR-Val-632,102,dynamic,False,False,,False,True,completed,7814.518390618265,TimeoutError('Declared simulation-time budget exceeded'),
09_ProcTHOR-Val-632_seed102_static,ProcTHOR-Val-632,102,static,False,False,,False,True,completed,3232.1191249489784,,
10_ProcTHOR-Train-7819_seed100_dynamic,ProcTHOR-Train-7819,100,dynamic,False,False,,False,True,completed,7767.994184292853,TimeoutError('Declared simulation-time budget exceeded'),
10_ProcTHOR-Train-7819_seed100_static,ProcTHOR-Train-7819,100,static,False,False,,False,True,completed,7669.636360377073,TimeoutError('Declared simulation-time budget exceeded'),
10_ProcTHOR-Train-7819_seed101_dynamic,ProcTHOR-Train-7819,101,dynamic,False,False,,False,True,completed,6154.452026337385,TimeoutError('Declared simulation-time budget exceeded'),
10_ProcTHOR-Train-7819_seed101_static,ProcTHOR-Train-7819,101,static,False,False,,False,True,completed,5637.302000530064,TimeoutError('Declared simulation-time budget exceeded'),
10_ProcTHOR-Train-7819_seed102_dynamic,ProcTHOR-Train-7819,102,dynamic,True,False,native_contact_rejected,True,True,completed,5561.704360373318,,581
10_ProcTHOR-Train-7819_seed102_static,ProcTHOR-Train-7819,102,static,False,False,,False,True,completed,6332.34974488616,TimeoutError('Declared simulation-time budget exceeded'),
